Target Distance: 100, Step Size: 10
0: (x,y) = (0, 0)
1: (x,y) = (-3.25568, -9.45519)
2: (x,y) = (4.29141, -16.0158)
3: (x,y) = (14.1941, -17.4075)
4: (x,y) = (4.23215, -16.5359)
5: (x,y) = (-3.4283, -10.1081)
6: (x,y) = (3.26301, -2.67663)
7: (x,y) = (4.4817, -12.6021)
8: (x,y) = (-4.50624, -16.9858)
9: (x,y) = (-12.4926, -10.9676)
10: (x,y) = (-5.17906, -17.7876)
11: (x,y) = (3.9564, -13.7203)
12: (x,y) = (-1.63553, -5.42989)
13: (x,y) = (1.78467, -14.8268)
14: (x,y) = (-3.66172, -6.44011)
15: (x,y) = (6.15455, -4.53202)
16: (x,y) = (0.2767, 3.55815)
17: (x,y) = (7.59024, 10.3781)
18: (x,y) = (-2.40824, 10.2036)
19: (x,y) = (-2.40824, 0.203609)
20: (x,y) = (-8.70144, -7.56785)
21: (x,y) = (0.128033, -12.2626)
22: (x,y) = (-9.85826, -12.7859)
23: (x,y) = (-14.8583, -21.4462)
24: (x,y) = (-16.4226, -31.3231)
25: (x,y) = (-26.2041, -33.4022)
26: (x,y) = (-28.9605, -43.0148)
27: (x,y) = (-19.3012, -40.4266)
28: (x,y) = (-29.1781, -41.991)
29: (x,y) = (-36.2492, -49.062)
30: (x,y) = (-45.4542, -52.9693)
31: (x,y) = (-36.4663, -48.5856)
32: (x,y) = (-26.65, -50.4937)
33: (x,y) = (-36.1606, -47.4035)
34: (x,y) = (-26.7054, -44.1479)
35: (x,y) = (-18.6152, -38.27)
36: (x,y) = (-28.5604, -37.2247)
37: (x,y) = (-24.6531, -28.0197)
38: (x,y) = (-17.7065, -35.2131)
39: (x,y) = (-8.37072, -31.6294)
40: (x,y) = (-17.031, -36.6294)
41: (x,y) = (-25.0173, -30.6112)
42: (x,y) = (-23.7986, -40.5367)
43: (x,y) = (-32.7866, -44.9204)
44: (x,y) = (-27.0508, -53.1119)
45: (x,y) = (-26.7018, -63.1058)
46: (x,y) = (-34.5819, -69.2625)
47: (x,y) = (-31.3262, -59.8073)
48: (x,y) = (-24.2552, -66.8783)
49: (x,y) = (-24.0806, -76.8768)
50: (x,y) = (-14.5701, -79.967)
51: (x,y) = (-24.5153, -81.0123)
52: (x,y) = (-28.7415, -71.9492)
53: (x,y) = (-38.4007, -69.361)
54: (x,y) = (-34.3334, -60.2255)
55: (x,y) = (-24.7208, -57.4692)
56: (x,y) = (-14.7345, -57.9925)
57: (x,y) = (-24.4782, -60.242)
58: (x,y) = (-15.9065, -55.0917)
59: (x,y) = (-10.6073, -46.6112)
60: (x,y) = (-5.3081, -38.1307)
61: (x,y) = (-11.186, -46.2209)
62: (x,y) = (-10.3144, -36.2589)
63: (x,y) = (-8.75006, -46.1358)
64: (x,y) = (-8.92458, -56.1343)
65: (x,y) = (-11.3438, -46.4313)
66: (x,y) = (-4.1504, -53.3779)
67: (x,y) = (2.92067, -60.449)
68: (x,y) = (10.2342, -53.629)
69: (x,y) = (10.2342, -63.629)
70: (x,y) = (1.40473, -68.3237)
71: (x,y) = (-1.35164, -77.9363)
72: (x,y) = (1.23655, -87.5956)
73: (x,y) = (11.2228, -88.1189)
74: (x,y) = (20.0523, -92.8137)
After 75 steps, the subject has the following location:
(x,y) = (13.7591, -100.585)
 or
(m,a) = (101.522, -82.2108)
Average outward distance per step = 1.35362
